protocol,proposer,blockNumber
1inch,0x56052f4C56B249fbA414757cEB82F55A8b1Aef99,12788017
aave,0x683a4F9915D6216f73d6Df50151725036bD26C02,13264819
aavegotchi,0x027Ffd3c119567e85998f4E6B9c3d83D5702660c,22358304
alchemist,0xBfAb3FA9fbC422e9202558B3c51c2D1d0B2Ba551,12032929
alchemixfinance,0xf872703F1C8f93fA186869Bac83BAC5A0c87C3c8,13171674
aragon,0xf08b64258465A9896691E23caaF9E6C830ec4b9D,11106600
armorfi,0xc93356BdeaF3cea6284a6cC747fa52dD04Afb2a8,13767220
badgerdao,0xFcdF725929D73CE97e358a0ca0904451Cb34108E,13443983
balancer,0x512fce9B07Ce64590849115EE6B32fd40eC0f5F3,13493561
bancor,0xc26892F608B3E97A24149F9C273449416e222060,14106558
banklessvault,0x35EA12472d6fb21A9dB24B397AA2775D332C14B7,12822029
basisdollar,0x20eeA03DcEF4241Da6B11471dc31f031152EFf7c,11644800
blockzerolabs,0x11231f7Dc863F36A6516Eb4EF052f195000e0000,12652991
bprotocol,0xa9d062B23650C9191673d9496d9e700d37DC55f5,12338120
buzzedbearhideout,0x9F666457E792101523d4dcb4715750c9bce68a02,13395280
bzx,0xB7F72028D9b502Dc871C444363a7aC5A52546608,11796686
citydao,0x33eD481F752f05A292346C71E16aFbB0fE548656,13134786
compound,0xc8A69971DAa3C3ADd85Ab0d0AF297515769ddfFC,13413169
compoundgrants,0xCf01547b6a3a41C459985EBA6874FEeaE0e3Fe8D,12180380
convexfinance,0x724061efDFef4a421e8be05133ad24922D07b5Bf,13767794
creamfinance,0xb6e362900B7113F246A7e1c17E9746b3B9C079dB,12405819
credmark,0x295B61866dAA53a76CE4b3a927EFAF0059b4a90A,13224745
cryptocorgis,0x34a745008a643EebC58920eaa29Fb1165b4A288E,13013132
daiprizepool,0x34827Da8C452BB0Ec39e4cc3610930558183B862,12015984
daosquare,0x9ac9c636404C8d46D9eb966d7179983Ba5a3941A,10983890
decentralgames,0xb3Ab3a2f58a7d91Fe3Dcf9ABAd53C0dD1603B847,13488912
defidollar,0x08F7506E0381f387e901c9D0552cf4052A0740a4,11498480
devdao,0x76da95534c57516625948baA9d069D5ed371b324,13458404
dhedge,0x203444AdD0835d95AAbbf7Ab92b18a69e1F640F1,13169225
doodles,0x61fd0D043d519F5A2bD05785000f30Db96809429,13649086
drc,0xDfd60a8E1e17FBb78E8CA332906A822D862f3D57,11419147
dsd,0xF414CFf71eCC35320Df0BB577E3Bc9B69c9E1f07,11746817
dydx,0xf88487bFb6726dA59C203c771ADe7e1272F42d1c,13349799
earthfund,0x7fCb6b551C23018741E299e1e213697d539Ca978,13992863
ens,0xb8c2C29ee19D8307cb7255e1Cd9CbDE883A267d5,13942538
esd,0xB0B2b405c9D09d129E9F9b18c9DD218c532f2b2A,11453854
fei,0xe0ac4559739bD36f0913FB0A3f5bFC19BCBaCD52,13761664
forefront,0xF0CAd7C8b383f79A879eB6Df644e336234EBDac8,12811718
friendswithbenefits,0x01503DC708ce3C55017194847A07aCb679D49f47,13347082
frontier,0xfC43f5F9dd45258b3AFf31Bdbe6561D97e8B71de,11290000
gameminealliance,0x27FD35E28f09748Ee5Ef2d46545aF567A150197c,13198666
gitcoin,0x34aA3F359A9D614239015126635CE7732c18fDF3,13031735
gnosis,0xd714Dd60e22BbB1cbAFD0e40dE5Cfa7bBDD3F3C8,11364500
graphprotocol,0x37BC95e38235Ec42F185E945922a4E2C9795B391,12005450
idlefinance,0x2fa92128ecE3901395448bf62Dd5Ff6a35871540,13530854
indexCoop,0xc2971FE806CE4438dA09e21fC7be7FB121Cf7e13,14018875
indexed,0x02bEf2CdEBb509D33d300896dc5c76B58Dbda95B,11524880
instadapp,0xA45f7bD6A5Ff45D31aaCE6bCD3d426D9328cea01,12692666
inverse,0xfe97B38192Cb30aDD0bBe5e01E6a617562CC8318,11946166
keep2r,0xb058daD825A8E84cB453949bEFc4f7e77CaAa65E,11376747
keeperdao,0x00fA720A0943Cc51145b78775d2A4B8B5d83EcCc,13354794
kleros,0x00B5ADe4ac1fE9cCc08Addc2C10070642335117F,11434140
klimadao,0x693aD12DbA5F6E07dE86FaA21098B691F60A1BEa,20435568
krausehouse,0x1983dA5059F7d7DA6b4c6cDc3D42D69a334A5E7E,13961802
lido,0x32254b28F793CC18B3575C86c61fE3D7421cbbef,13275166
mantraDao,0x23F7c16F9d596Ba80dfff3a75F18C90506eD4E8D,11946984
metacartel,0x7ac712ec4C58dEd138CC4e63e0fd59F697cC6963,13833133
molochdao,0x49f07947e4768Fc11DAe0368b1A4C84a19588c6C,13113208
molochrises,0x49f07947e4768Fc11DAe0368b1A4C84a19588c6C,13113208
mstable,0xE76Be9C1e10910d6Bc6b63D8031729747910c2f6,13574733
nounsdao,0x008c84421dA5527F462886cEc43D2717B686A7e4,13673247
olympusdao,0x389b11C4fA4b95bCc252A2B20Bb62310Fbc36746,13902245
ooki,0xB7F72028D9b502Dc871C444363a7aC5A52546608,11796686
opendao,0x8c0d2B62F133Db265EC8554282eE60EcA0Fd5a9E,13869082
oversmdao,0xbCefc4906b443e4DB64E2b00b9af2C39e76c785c,14187737
pasta,0x8d07D225a769b7Af3A923481E1FdF49180e6A265,12072260
pegzdao,0x31413166836aeC2f3F8C99cc899593564f60EB5d,14168744
perpetualprotocol,0x01E6b50557eF1a2ca58A621998aCe3f278E808B8,11649984
pickle,0x5c4D8CEE7dE74E31cE69E76276d862180545c307,12042203
piedao,0xd18a54f89603Fe4301b29EF6a8ab11b9Ba24f139,13589371
pleasrdao,0xBa39BF5DB0CC53337fFBF4aB2Bd2c014f12d0aE2,13468746
pooltogether,0xca768c37ba6EC3d67bE7B47bbE1F1C94CA216f46,12396396
premia,0x26b94A72D2Aa4197441BF7B4c2C80dfB8F34cBC8,12270060
primedao,0x58Ff691f7849b0666085CFb693568160Cfb9d22D,13562984
radicle,0x641eDB587867a703E132a4210d63e93C52AA97fF,11882777
rally,0xBbD378951fB947eef963C096F46d04420F97905B,12232570
rari,0xE150fEf6CDc4DB5168Ae3c85b74e442542d51de5,13711812
rarible,0x70b71b98c8b95643462C68e0A396d0a6d15337bf,13175382
retoken,0xE1b1aEC67295E36803be239e55e0e3B67AF4fFB4,21638962
screensaver,0xe288a00DF4b697606078876788e4D64633CD2e01,14542229
seen,0xA75d56979E5eb9bC24D6FAEb4B5B2C35589168A5,11204133
shapeshift,0xE56Edf928D813cA9D0530e6Bc893029E07C683C6,13641216
sushi,0xF27AbCeD7bb0A5db2052dBddfB01Ca442F129Aea,12554392
synthetix,0xDe910777C787903F78C89e7a0bf7F4C435cBB1Fe,14025599
thegraphcouncil,0x37BC95e38235Ec42F185E945922a4E2C9795B391,12117735
thelao,0x2D81713c58452c92C19b2917e1C770eEcF53Fe41,11080800
token-engineering-commons,0xaa79B87DC8B046A5E4f7D03F1562D7fe5BF98737,17886545
tokenlon,0x9592344f80D8d4A6c3BA976F8E6d134Db8e21B3C,11891674
tornadocash,0xb3E7C32d7C328AEabc8F34e90a879326b6482750,11784949
truefigov,0x99FBa19112f221D0B44c9c22241f5e6b2Db715F6,12611459
ultradaov2,0xE1B5a27BA809B645149345Af197e044CbBc155e9,23689841
uniswap,0x7e4A8391C728fEd9069B2962699AB416628B19Fa,11042288
vsp,0xB454F20d38c0Bc020E18bDa03898904DCA77A38a,12206750
wgmi,0x1768f9d7aeB96b09F12fc8D1573Bfca84e7d46dC,19967689
yam,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,13312415
ybaby,0x0Cec743b8CE4Ef8802cAc0e5df18a180ed8402A7,10905651
yfbeta,0xbBa1b7890D6FAf87Db273544fd4CeFBe448285dD,10834974
yup,0xD74b126baEAd23A1160494DD8BCa94a1081B150f,11468302
