,organization_name,type,governance_address,url,description,cleanAddress
0,0x06Bdd90Cc7122D4531ab7CbB3C22D265Cb112ABD,governance,0x06bdd90cc7122d4531ab7cbb3c22d265cb112abd,https://client.aragon.org/#/0x06bdd90cc7122d4531ab7cbb3c22d265cb112abd,Aragon Governance,0x06bdd90cc7122d4531ab7cbb3c22d265cb112abd
1,0x117d1F8CB4Bf6e74Bc5D667f15af7b810baCCCD6,governance,0x117d1f8cb4bf6e74bc5d667f15af7b810bacccd6,https://client.aragon.org/#/0x117d1f8cb4bf6e74bc5d667f15af7b810bacccd6,Aragon Governance,0x117d1f8cb4bf6e74bc5d667f15af7b810bacccd6
2,1HiveLLC,governance,1hivellc.aragonid.eth,https://client.aragon.org/#/1hivellc.aragonid.eth,Aragon Governance,0xAf3098521355BC588424560155a40C5b4bf7185E
3,1UP,governance,0xafdd1eb2511cd891acf2bff82dabf47e0c914d24,https://etherscan.io/address/0xafdd1eb2511cd891acf2bff82dabf47e0c914d24,Daostack Governance,0xafdd1eb2511cd891acf2bff82dabf47e0c914d24
4,4c4bf6a8,governance,4c4bf6a8.aragonid.eth,https://client.aragon.org/#/4c4bf6a8.aragonid.eth,Aragon Governance,0x451119af1Af011897714200D604aEc5e17802B40
5,6Ef0c0b0,governance,6ef0c0b0.aragonid.eth,https://client.aragon.org/#/6ef0c0b0.aragonid.eth,Aragon Governance,0xC63627255269DDC12dE3BEE4d7E6526DDa59aF70
6,Aave,governance,aave.eth,https://snapshot.org/#/aave.eth,Snapshot Governance,
7,Aave,governance,0x89c51828427f70d77875c6747759fb17ba10ceb0,,Assetsonly Governance,0x89c51828427f70d77875c6747759fb17ba10ceb0
8,Aave,governance,aave,https://snapshot.org/#/aave,Snapshot Governance,
9,Aavegotchi,governance,aavegotchi.eth,https://snapshot.org/#/aavegotchi.eth,Snapshot Governance,0x027Ffd3c119567e85998f4E6B9c3d83D5702660c
10,Aavegotchi,governance,aavegotchi.aragonid.eth,https://client.aragon.org/#/aavegotchi.aragonid.eth,Aragon Governance,0x054086d40cf8Fd5bF6200eDa7f9C6877B0302dd1
11,Airalab,governance,aira.aragonid.eth,https://client.aragon.org/#/aira.aragonid.eth,Aragon Governance,0x97D28635ab8ebC85e04F23D0c578d9e7CcF6519b
12,AirSwap,governance,vote.airswap.eth,https://snapshot.org/#/vote.airswap.eth,Snapshot Governance,
13,Alchemix,governance,alchemixstakers.eth,https://snapshot.org/#/alchemixstakers.eth,Snapshot Governance,0xc8E0345596D7196941E61D3aB607E57Fe61F85E7
14,Ampleforth,governance,0x8a994c6f55be1fd2b4d0dc3b8f8f7d4e3a2da8f1,https://etherscan.io/address/0x8a994c6f55be1fd2b4d0dc3b8f8f7d4e3a2da8f1,Compound Governance,0x8a994c6f55be1fd2b4d0dc3b8f8f7d4e3a2da8f1
15,Ampleforth,governance,ampleforth,https://snapshot.org/#/ampleforth,Snapshot Governance,
16,Ampleforth,governance,ampleforthorg.eth,https://snapshot.org/#/ampleforthorg.eth,Snapshot Governance,0xfe2321D7DFA492dFC39330e8b85E7c49161e7F98
17,APE DAO,governance,togetherstrong.eth,https://snapshot.org/#/togetherstrong.eth,Snapshot Governance,0xf6ea6de3B28E284eEC682c4E64d43503F44228F1
18,API3,governance,api3daov1.aragonid.eth,https://client.aragon.org/#/api3daov1.aragonid.eth,Aragon Governance,0x9B64177757a0BD2A042446C8d910526476B7Bf57
19,API3,governance,0xd9f80bdb37e6bad114d747e60ce6d2aaf26704ae,,Assetsonly Governance,0xd9f80bdb37e6bad114d747e60ce6d2aaf26704ae
20,ApocalypseDAO,governance,0x44d55a8492a90640dc6af013657eaf1ac5bc9548,https://etherscan.io/address/0x44d55a8492a90640dc6af013657eaf1ac5bc9548,Daostack Governance,0x44d55a8492a90640dc6af013657eaf1ac5bc9548
21,Aragon Association DAO,governance,associationops.aragonid.eth,https://client.aragon.org/#/associationops.aragonid.eth,Aragon Governance,0x1030678E350Ee3AA845C29cA8c8cE0693AbE8144
22,Aragon Network,governance,0x40204daacb1480019a7a6826c699903df94ee019,https://client.aragon.org/#/0x40204daacb1480019a7a6826c699903df94ee019,Aragon Governance,0x40204daacb1480019a7a6826c699903df94ee019
23,Aragon Network Budget,governance,budget.aragonid.eth,https://client.aragon.org/#/budget.aragonid.eth,Aragon Governance,0x49C8C959ce8692978e4f3B169FFd179EC241adaF
24,Aragon One,governance,0x635193983512c621e6a3e15ee1dbf36f0c0db8e0,https://client.aragon.org/#/0x635193983512c621e6a3e15ee1dbf36f0c0db8e0,Aragon Governance,0x635193983512c621e6a3e15ee1dbf36f0c0db8e0
25,Aragon Trust,governance,trust.aragonid.eth,https://client.aragon.org/#/trust.aragonid.eth,Aragon Governance,0xBC435a218374859ca03F675f7697fd7e7ce805Cb
26,ArbitrageDAO,governance,0xa8fc468da0417f71393523393bd7d57450143a62,https://etherscan.io/address/0xa8fc468da0417f71393523393bd7d57450143a62,Moloch / Daohaus Governance,0xa8fc468da0417f71393523393bd7d57450143a62
27,Arca,governance,arca.aragonid.eth,https://client.aragon.org/#/arca.aragonid.eth,Aragon Governance,0xF4dAcf2EdB6E2bd88EB90C3AEf1e510153d38579
28,array.finance CCO,governance,0xff3f8c0b98454306fb0bda57e5ae38cbfa66cc0d,https://etherscan.io/address/0xff3f8c0b98454306fb0bda57e5ae38cbfa66cc0d,Moloch / Daohaus Governance,0xff3f8c0b98454306fb0bda57e5ae38cbfa66cc0d
29,Arweavers,governance,arweavers.aragonid.eth,https://client.aragon.org/#/arweavers.aragonid.eth,Aragon Governance,0xf8C46Ce08F990eBB4C78E60edb97eF0c54350AcE
30,Badger DAO,governance,badger.aragonid.eth,https://client.aragon.org/#/badger.aragonid.eth,Aragon Governance,0x33D53383314190B0B885D1b6913B5a50E2D3A639
31,Badger DAO,governance,badgerdao.eth,https://snapshot.org/#/badgerdao.eth,Snapshot Governance,0x6b3eF8E2446136bCD885Ced8686e6D785B3482c8
32,Balancer,governance,balancer.eth,https://snapshot.org/#/balancer.eth,Snapshot Governance,0x701902858A6a9B6f36603244622732d9ec57a82a
33,Bancor 0x3EcD508F87Ef27417474B0FDF8dd90A3b2B337C9,governance,0x3ecd508f87ef27417474b0fdf8dd90a3b2b337c9,https://client.aragon.org/#/0x3ecd508f87ef27417474b0fdf8dd90a3b2b337c9,Aragon Governance,0x3ecd508f87ef27417474b0fdf8dd90a3b2b337c9
34,Bankless DAO,governance,,https://snapshot.org/#/,Snapshot Governance,
35,Bankless DAO,governance,banklessvault.eth,https://snapshot.org/#/banklessvault.eth,Snapshot Governance,0xf26d1Bb347a59F6C283C53156519cC1B1ABacA51
36,BarnBridge,governance,barnbridge.eth,https://snapshot.org/#/barnbridge.eth,Snapshot Governance,0x747dfb7D6D27671B4e3E98087f00e6B023d0AAb7
37,BarnBridge,governance,barnbridgelaunch.aragonid.eth,https://client.aragon.org/#/barnbridgelaunch.aragonid.eth,Aragon Governance,0xf590e576A3353491164F70ccdfCb7e26c55F5CC0
38,BarnBridge,governance,0x4cae362d7f227e3d306f70ce4878e245563f3069,,Assetsonly Governance,0x4cae362d7f227e3d306f70ce4878e245563f3069
39,BerezkafLexDAO,governance,berezkaflexdao.aragonid.eth,https://client.aragon.org/#/berezkaflexdao.aragonid.eth,Aragon Governance,0x1C26FdE2Ce92cd1d932A0AFB8367108eac7f369B
40,Betacolony,governance,0x869814034d96544f3c62de2ac22448ed79ac8e70,https://etherscan.io/address/0x869814034d96544f3c62de2ac22448ed79ac8e70,Colony Governance,0x869814034d96544f3c62de2ac22448ed79ac8e70
41,BitDAO,governance,bitdao.eth,https://snapshot.org/#/bitdao.eth,Snapshot Governance,0xa3E71D4603f1E17c57A63BC687F88EA11BdEd6E1
42,blequity,governance,blequity.aragonid.eth,https://client.aragon.org/#/blequity.aragonid.eth,Aragon Governance,0xC75d63A83584D65c510d6780E05DC503F2e94962
43,Bprotocol,governance,bpro.eth,https://snapshot.org/#/bpro.eth,Snapshot Governance,0xa9d062B23650C9191673d9496d9e700d37DC55f5
44,BProtocol,governance,0xbbbbbb512661e9a574a8a3e8c12afaf647e98809,https://etherscan.io/address/0xbbbbbb512661e9a574a8a3e8c12afaf647e98809,Compound Governance,0xbbbbbb512661e9a574a8a3e8c12afaf647e98809
45,BrightID,governance,0x5aad137d8f7d2dc6e1b2548c059b1483360bcc6a,https://client.aragon.org/#/0x5aad137d8f7d2dc6e1b2548c059b1483360bcc6a,Aragon Governance,0x5aad137d8f7d2dc6e1b2548c059b1483360bcc6a
46,brightiddev,governance,brightiddev.aragonid.eth,https://client.aragon.org/#/brightiddev.aragonid.eth,Aragon Governance,0x8eB38a926C096c5d99e71D84973b8E9C690B99A9
47,Burn Signal,governance,0x5a49fb12f512451819caeb7f4be37e89f0eb0afd,https://etherscan.io/address/0x5a49fb12f512451819caeb7f4be37e89f0eb0afd,Colony Governance,0x5a49fb12f512451819caeb7f4be37e89f0eb0afd
48,Buyback CC1,governance,0x2004cb1e8fb6d4476acdc9e1d37f717d3a83384d,https://etherscan.io/address/0x2004cb1e8fb6d4476acdc9e1d37f717d3a83384d,Moloch / Daohaus Governance,0x2004cb1e8fb6d4476acdc9e1d37f717d3a83384d
49,bZx,governance,bzx.eth,https://snapshot.org/#/bzx.eth,Snapshot Governance,0xD8Ee69652E4e4838f2531732a46d1f7F584F0b7f
50,cadcad,governance,cadcad.aragonid.eth,https://client.aragon.org/#/cadcad.aragonid.eth,Aragon Governance,0x23B5db33e824822E8D98698C4929bE2ff1ba70e4
51,Carbonswap,governance,carbonswap.eth,https://snapshot.org/#/carbonswap.eth,Snapshot Governance,0x37d32444BF9cF87600987279Eb24d03c90e0561b
52,CENNZnet Grants DAO,governance,0xee7fa430a7e513d3df962ed0c0e285bc6f87fc24,https://etherscan.io/address/0xee7fa430a7e513d3df962ed0c0e285bc6f87fc24,Daostack Governance,0xee7fa430a7e513d3df962ed0c0e285bc6f87fc24
53,centrifugelabic01,governance,centrifugelabic01.aragonid.eth,https://client.aragon.org/#/centrifugelabic01.aragonid.eth,Aragon Governance,0x06A0A7257546FeC3042c2FC2504c4De21C2b94ab
54,CityDAO,governance,daocity.eth,https://snapshot.org/#/daocity.eth,Snapshot Governance,0x60e7343205C9C88788a22C40030d35f9370d302D
55,clr.fund,governance,,https://snapshot.org/#/,Snapshot Governance,
56,clr.fund,governance,0xa357c5dc01d8ab4f3af519b0537468391e3e0976,https://etherscan.io/address/0xa357c5dc01d8ab4f3af519b0537468391e3e0976,Colony Governance,0xa357c5dc01d8ab4f3af519b0537468391e3e0976
57,Collab19,governance,collab.aragonid.eth,https://client.aragon.org/#/collab.aragonid.eth,Aragon Governance,0x5E7B681735205bB5414Fb8cC368695b8571611AD
58,Compound,governance,comp-vote.eth,https://snapshot.org/#/comp-vote.eth,Snapshot Governance,0x2B384212EDc04Ae8bB41738D05BA20E33277bf33
59,Compound,governance,grantcomp.eth,https://snapshot.org/#/grantcomp.eth,Snapshot Governance,
60,Compound,governance,compgov.eth,https://snapshot.org/#/compgov.eth,Snapshot Governance,0xb465E49e70E9d6fFdfc0EA1543653312b814f96e
61,Compound,governance,0xc0da02939e1441f497fd74f78ce7decb17b66529,https://etherscan.io/address/0xc0da02939e1441f497fd74f78ce7decb17b66529,Compound Governance,0xc0da02939e1441f497fd74f78ce7decb17b66529
62,Compound,governance,cuni,https://snapshot.org/#/cuni,Snapshot Governance,
63,Compound,governance,0xc0da01a04c3f3e0be433606045bb7017a7323e38,https://etherscan.io/address/0xc0da01a04c3f3e0be433606045bb7017a7323e38,Compound Governance,0xc0da01a04c3f3e0be433606045bb7017a7323e38
64,Conjure,governance,0x6cae87e30445665ca5125d574aa02db4aa9edb96,https://etherscan.io/address/0x6cae87e30445665ca5125d574aa02db4aa9edb96,Compound Governance,0x6cae87e30445665ca5125d574aa02db4aa9edb96
65,Constitution,governance,2a988310-48d5-4809-bc65-622d43fc5f58,,Assetsonly Governance,
66,Creative Collabo DAO,governance,0x161e99f7467f20602c7ff9ff85f22be1ecc41b86,https://etherscan.io/address/0x161e99f7467f20602c7ff9ff85f22be1ecc41b86,Moloch / Daohaus Governance,0x161e99f7467f20602c7ff9ff85f22be1ecc41b86
67,CrisisDAO,governance,crisisdao.eth,https://snapshot.org/#/crisisdao.eth,Snapshot Governance,
68,Cryptex,governance,0x874c5d592afc6803c3dd60d6442357879f196d5b,https://etherscan.io/address/0x874c5d592afc6803c3dd60d6442357879f196d5b,Compound Governance,0x874c5d592afc6803c3dd60d6442357879f196d5b
69,Cryptex,governance,cryptexdao.eth,https://snapshot.org/#/cryptexdao.eth,Snapshot Governance,0xa54074b2cc0e96a43048d4a68472F7F046aC0DA8
70,Cryptex,governance,0x271901c3268d0959bbc9543de4f073d3708c88f7,https://etherscan.io/address/0x271901c3268d0959bbc9543de4f073d3708c88f7,Compound Governance,0x271901c3268d0959bbc9543de4f073d3708c88f7
71,Cura Dao,governance,0x0b93ba560283350d4216f29dc57e15df38d0eace,https://etherscan.io/address/0x0b93ba560283350d4216f29dc57e15df38d0eace,Daostack Governance,0x0b93ba560283350d4216f29dc57e15df38d0eace
72,Curio,governance,curio.aragonid.eth,https://client.aragon.org/#/curio.aragonid.eth,Aragon Governance,0x5F89B0fa249C8180962d01aaa30B6F5cB96ee979
73,Cyber Congress,governance,0xc45417092c7ba66052c92a4ad871fc60bdbc7009,https://client.aragon.org/#/0xc45417092c7ba66052c92a4ad871fc60bdbc7009,Aragon Governance,0xc45417092c7ba66052c92a4ad871fc60bdbc7009
74,Dandy,governance,dandy.aragonid.eth,https://client.aragon.org/#/dandy.aragonid.eth,Aragon Governance,0x6B9bc7FEECCb73A2F0258B587a0E9eb4A40e9F02
75,DAOhaus Second Story CCO,governance,0x44f2f58eb410c3099d59db44e8ab9859e886c176,https://etherscan.io/address/0x44f2f58eb410c3099d59db44e8ab9859e886c176,Moloch / Daohaus Governance,0x44f2f58eb410c3099d59db44e8ab9859e886c176
76,DAOSquare,governance,daosquare,https://snapshot.org/#/daosquare,Snapshot Governance,
77,DAOSquare,governance,0x1ba850cb53280d7f9987be283ff462038ec8abe2,https://etherscan.io/address/0x1ba850cb53280d7f9987be283ff462038ec8abe2,Moloch / Daohaus Governance,0x1ba850cb53280d7f9987be283ff462038ec8abe2
78,Daoversify,governance,daoversify.aragonid.eth,https://client.aragon.org/#/daoversify.aragonid.eth,Aragon Governance,0xEa8020280Fe16c3580FA8945fe1ea5329862d83a
79,Decentraland,governance,snapshot.dcl.eth,https://snapshot.org/#/snapshot.dcl.eth,Snapshot Governance,
80,Decentraland,governance,0xf47917b108ca4b820ccea2587546fbb9f7564b56,https://client.aragon.org/#/0xf47917b108ca4b820ccea2587546fbb9f7564b56,Aragon Governance,0xf47917b108ca4b820ccea2587546fbb9f7564b56
81,Decentral Games,governance,decentralgames.eth,https://snapshot.org/#/decentralgames.eth,Snapshot Governance,0x7146cae915f1Cd90871ecc69999BEfFdcaf38ff9
82,Defi Omega,governance,0xe9d7e590171cb5080ab8dfd45850692a714260f0,https://etherscan.io/address/0xe9d7e590171cb5080ab8dfd45850692a714260f0,Moloch / Daohaus Governance,0xe9d7e590171cb5080ab8dfd45850692a714260f0
83,DeoraTest,governance,0x48c2f0a379f8cc93b1be3775964e242adebfd8dc,https://etherscan.io/address/0x48c2f0a379f8cc93b1be3775964e242adebfd8dc,Moloch / Daohaus Governance,0x48c2f0a379f8cc93b1be3775964e242adebfd8dc
84,dHedge,governance,gov.dhedge.eth,https://snapshot.org/#/gov.dhedge.eth,Snapshot Governance,
85,dHedge,governance,0xb76e40277b79b78dfa954cbec863d0e4fd0656ca,,Assetsonly Governance,0xb76e40277b79b78dfa954cbec863d0e4fd0656ca
86,dHedge,governance,dhedge.aragonid.eth,https://client.aragon.org/#/dhedge.aragonid.eth,Aragon Governance,0x238c1C129c00920D11520f25647D2b47ddBb3f87
87,DimensionLab,governance,dimensionlab.aragonid.eth,https://client.aragon.org/#/dimensionlab.aragonid.eth,Aragon Governance,0xb97058B2885f3144f531534Ee9E9FA3864cd93eE
88,dOrg,governance,dorg.eth,https://snapshot.org/#/dorg.eth,Snapshot Governance,0xdb22d2d37db92EA7fa6993C9f6Ead55FBb1eF4EA
89,dOrg,governance,0x94a587478c83491b13291265581cb983e7feb540,https://etherscan.io/address/0x94a587478c83491b13291265581cb983e7feb540,Daostack Governance,0x94a587478c83491b13291265581cb983e7feb540
90,dOrg,governance,0x15344ecdc2c4edfcb092e284d93c20f0529fd8a6,https://etherscan.io/address/0x15344ecdc2c4edfcb092e284d93c20f0529fd8a6,Daostack Governance,0x15344ecdc2c4edfcb092e284d93c20f0529fd8a6
91,Dtravel,governance,dtraveldao.eth,https://snapshot.org/#/dtraveldao.eth,Snapshot Governance,0x0fD5Eee988E1525C5958a977a3B01f5EE90D1b6E
92,DXdao,governance,0xe81a69caca4a99360589cfd18d9eeaa5029b5ef8,https://etherscan.io/address/0xe81a69caca4a99360589cfd18d9eeaa5029b5ef8,Daostack Governance,0xe81a69caca4a99360589cfd18d9eeaa5029b5ef8
93,DXdao,governance,0x519b70055af55a007110b4ff99b0ea33071c720a,https://etherscan.io/address/0x519b70055af55a007110b4ff99b0ea33071c720a,Daostack Governance,0x519b70055af55a007110b4ff99b0ea33071c720a
94,Elimuai,governance,elimuai.aragonid.eth,https://client.aragon.org/#/elimuai.aragonid.eth,Aragon Governance,0x15BC735a248eB9790b9D4B85e44cF4c878667209
95,ENS,governance,,https://snapshot.org/#/,Snapshot Governance,
96,ENS,governance,,https://snapshot.org/#/,Snapshot Governance,
97,ENS,governance,ens.eth,https://snapshot.org/#/ens.eth,Snapshot Governance,0xFe89cc7aBB2C4183683ab71653C4cdc9B02D44b7
98,Enzyme Finance,governance,0xfe1f2de598f42ce67bb9aad5ad473f0272d09b74,https://client.aragon.org/#/0xfe1f2de598f42ce67bb9aad5ad473f0272d09b74,Aragon Governance,0xfe1f2de598f42ce67bb9aad5ad473f0272d09b74
99,Enzyme Finance,governance,enzymefinance.eth,https://snapshot.org/#/enzymefinance.eth,Snapshot Governance,0x0d580ae50B58fe08514dEAB4e38c0DFdB0D30adC
100,Estonia,governance,estonia.aragonid.eth,https://client.aragon.org/#/estonia.aragonid.eth,Aragon Governance,0x5ce5d6914b998240c52dB1292299F859777EF343
101,EulerBeats OG DAO,governance,ebog.eth,https://snapshot.org/#/ebog.eth,Snapshot Governance,0x2d51cB37805c559B376232B0a9879fA7914d27E0
102,EulerBeats OG DAO,governance,ebog-rinkeby,https://snapshot.org/#/ebog-rinkeby,Snapshot Governance,
103,f25f0531,governance,f25f0531.aragonid.eth,https://client.aragon.org/#/f25f0531.aragonid.eth,Aragon Governance,0x0598Ae14B05a6D6B027C75d6c04a4975C9ddDb84
104,Farmgod DAO,governance,farmgod.eth,https://snapshot.org/#/farmgod.eth,Snapshot Governance,0x8DE3c3891268502F77DB7E876d727257DEc0F852
105,Fei,governance,0xe087f94c3081e1832dc7a22b48c6f2b5faae579b,https://etherscan.io/address/0xe087f94c3081e1832dc7a22b48c6f2b5faae579b,Compound Governance,0xe087f94c3081e1832dc7a22b48c6f2b5faae579b
106,Fei,governance,fei.eth,https://snapshot.org/#/fei.eth,Snapshot Governance,
107,Fest Dao,governance,0x8990e11b69403ea53ef2b32434bbd7dbf84b5234,https://etherscan.io/address/0x8990e11b69403ea53ef2b32434bbd7dbf84b5234,Daostack Governance,0x8990e11b69403ea53ef2b32434bbd7dbf84b5234
108,FiatLuxDAO,governance,,,Assetsonly Governance,
109,Fingerprints DAO,governance,fingerprints.eth,https://snapshot.org/#/fingerprints.eth,Snapshot Governance,0xbC49de68bCBD164574847A7ced47e7475179C76B
110,flamingo,governance,0x43310bd1c8f261ee7b9025662207ed95329aa193,https://etherscan.io/address/0x43310bd1c8f261ee7b9025662207ed95329aa193,Openlaw Governance,0x43310bd1c8f261ee7b9025662207ed95329aa193
111,ForeFront,governance,ffdao.eth,https://snapshot.org/#/ffdao.eth,Snapshot Governance,0x2Fb9F0ef424b24a8D293999298F392a33Fe6A8b5
112,Friends With Benefits Pro,governance,friendswithbenefits.eth,https://snapshot.org/#/friendswithbenefits.eth,Snapshot Governance,0x523d643E3D7c455D043eE11B51Bc8EC08F6ff474
113,Futhorcecosystem,governance,futhorcecosystem.aragonid.eth,https://client.aragon.org/#/futhorcecosystem.aragonid.eth,Aragon Governance,0xf576C1d8C261a195DA38c235957b5AbAC04EE13e
114,GCR DAO,governance,globalcoinresearch.eth,https://snapshot.org/#/globalcoinresearch.eth,Snapshot Governance,0xc01B3424b81da02A3aB626a44Cfe67c2eb15d9dA
115,Genesis Alpha,governance,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,https://etherscan.io/address/0x294f999356ed03347c7a23bcbcf8d33fa41dc830,Daostack Governance,0x294f999356ed03347c7a23bcbcf8d33fa41dc830
116,Gitcoin,governance,,https://snapshot.org/#/,Snapshot Governance,
117,Gitcoin,governance,gitcoindao.eth,https://snapshot.org/#/gitcoindao.eth,Snapshot Governance,0x57a8865cfB1eCEf7253c27da6B4BC3dAEE5Be518
118,Gitcoin,governance,0xdbd27635a534a3d3169ef0498beb56fb9c937489,https://etherscan.io/address/0xdbd27635a534a3d3169ef0498beb56fb9c937489,Compound Governance,0xdbd27635a534a3d3169ef0498beb56fb9c937489
119,Gnosis,governance,gnosis.eth,https://snapshot.org/#/gnosis.eth,Snapshot Governance,
120,Governor DAO,governance,gdao.eth,https://snapshot.org/#/gdao.eth,Snapshot Governance,0x37A6156e4a6E8B60b2415AF040546cF5e91699bd
121,Governor DAO,governance,gdao.aragonid.eth,https://client.aragon.org/#/gdao.aragonid.eth,Aragon Governance,0x391Eab14787a7BAEa7A421B804c7185b34F0329A
122,Hakt DAO,governance,,https://snapshot.org/#/,Snapshot Governance,
123,HausDAO,governance,0xdec090a12f2e280b089daa225892d9efa8ed0ee8,https://etherscan.io/address/0xdec090a12f2e280b089daa225892d9efa8ed0ee8,Moloch / Daohaus Governance,0xdec090a12f2e280b089daa225892d9efa8ed0ee8
124,HelpDao,governance,helpdao.aragonid.eth,https://client.aragon.org/#/helpdao.aragonid.eth,Aragon Governance,0xF7627121e08a1B3aD67c0Fdf020dC1e695D20cBF
125,Idle Finance,governance,idlefinance.eth,https://snapshot.org/#/idlefinance.eth,Snapshot Governance,0xe4E69ef860D3018B61A25134D60678be8628f780
126,Idle Finance,governance,0x2256b25cfc8e35c3135664fd03e77595042fe31b,https://etherscan.io/address/0x2256b25cfc8e35c3135664fd03e77595042fe31b,Compound Governance,0x2256b25cfc8e35c3135664fd03e77595042fe31b
127,Index,governance,index-coop.eth,https://snapshot.org/#/index-coop.eth,Snapshot Governance,
128,Indexed,governance,0x95129751769f99cc39824a0793ef4933dd8bb74b,https://etherscan.io/address/0x95129751769f99cc39824a0793ef4933dd8bb74b,Compound Governance,0x95129751769f99cc39824a0793ef4933dd8bb74b
129,Instadapp,governance,instadapp-gov.eth,https://snapshot.org/#/instadapp-gov.eth,Snapshot Governance,0x2888Eb67ac7ee9272FafD9277e60BD851B15e1B1
